        infile    m100M4l0.1_25b1_100L5000g500B625_2500    m100M4l0.1_25b1_100L5000g500B625_2500    m100M4l0.1_25b1_100L5000g500B625_2500
       290.929 &                                      0 &                                      0 &                                   0.05
       436.894 &                                      0 &                                      0 &                                      0
       655.841 &                                      0 &                                      0 &                                      0
       984.261 &                                      0 &                                      0 &                                      0
       1476.89 &                                      0 &                                      0 &                                      0
       2215.84 &                                      0 &                                      0 &                                      0
       3324.26 &                                      0 &                                      0 &                                      0
       4986.89 &                                      0 &                                      0 &                                      0
       7480.83 &                                      0 &                                      0 &                                      0
       11221.7 &                                      0 &                                      0 &                                      0
       16833.1 &                                      0 &                                      0 &                                      0
       25250.2 &                                      0 &                                      0 &                                      0
       37875.8 &                                      0 &                                      0 &                                      0
       56814.1 &                                      0 &                                      0 &                                      0
       85221.7 &                                      0 &                                      0 &                                      0
        127833 &                                      0 &                                      0 &                                      0
        191750 &                                      0 &                                      0 &                                      0
        287626 &                                      0 &                                      0 &                                      0
     ng1/nadm: &                                     -1 &                                     -1 &                                     -1
             0 &                                0.00475 &                                      0 &                                0.00475
           0.5 &                                0.00475 &                                      0 &                                0.00475
          1.25 &                                0.00475 &                                      0 &                                0.00475
         2.375 &                                0.00475 &                                      0 &                                0.00475
        4.0625 &                                0.00475 &                                      0 &                                0.00475
       6.59375 &                                0.00475 &                                      0 &                                0.00475
       10.3906 &                                0.00475 &                                      0 &                                0.00475
       16.0859 &                                0.00475 &                                      0 &                                0.00475
       24.6289 &                                0.00475 &                                      0 &                                0.00475
       37.4434 &                                0.00475 &                                      0 &                                0.00475
        56.665 &                                0.00475 &                                      0 &                                0.00475
       85.4976 &                                      0 &                                      0 &                                0.00475
       128.746 &                                      0 &                                      0 &                                0.00475
        193.62 &                                      0 &                                      0 &                                0.00475
       290.929 &                                      0 &                                      0 &                                0.00475
       436.894 &                                      0 &                                      0 &                                      0
       655.841 &                                      0 &                                      0 &                                      0
       984.261 &                                      0 &                                      0 &                                      0
       1476.89 &                                      0 &                                      0 &                                      0
       2215.84 &                                      0 &                                      0 &                                      0
       3324.26 &                                      0 &                                      0 &                                      0
       4986.89 &                                      0 &                                      0 &                                      0
       7480.83 &                                      0 &                                      0 &                                      0
       11221.7 &                                      0 &                                      0 &                                      0
       16833.1 &                                      0 &                                      0 &                                      0
       25250.2 &                                      0 &                                      0 &                                      0
       37875.8 &                                      0 &                                      0 &                                      0
       56814.1 &                                      0 &                                      0 &                                      0
       85221.7 &                                      0 &                                      0 &                                      0
        127833 &                                      0 &                                      0 &                                      0
        191750 &                                      0 &                                      0 &                                      0
        287626 &                                      0 &                                      0 &                                      0
     ng2/nadm: &                                     -1 &                                     -1 &                                     -1
             0 &                                0.00558 &                                      0 &                                0.00558
           0.5 &                                0.00558 &                                      0 &                                0.00558
          1.25 &                                0.00558 &                                      0 &                                0.00558
         2.375 &                                0.00558 &                                      0 &                                0.00558
        4.0625 &                                0.00558 &                                      0 &                                0.00558
       6.59375 &                                0.00558 &                                      0 &                                0.00558
       10.3906 &                                0.00558 &                                      0 &                                0.00558
       16.0859 &                                0.00558 &                                      0 &                                0.00558
       24.6289 &                                0.00558 &                                      0 &                                0.00558
       37.4434 &                                0.00558 &                                      0 &                                0.00558
        56.665 &                                0.00558 &                                      0 &                                0.00558
       85.4976 &                                      0 &                                      0 &                                0.00558
       128.746 &                                      0 &                                      0 &                                0.00558
        193.62 &                                      0 &                                      0 &                                0.00558
       290.929 &                                      0 &                                      0 &                                0.00558
       436.894 &                                      0 &                                      0 &                                      0
       655.841 &                                      0 &                                      0 &                                      0
       984.261 &                                      0 &                                      0 &                                      0
       1476.89 &                                      0 &                                      0 &                                      0
       2215.84 &                                      0 &                                      0 &                                      0
       3324.26 &                                      0 &                                      0 &                                      0
       4986.89 &                                      0 &                                      0 &                                      0
       7480.83 &                                      0 &                                      0 &                                      0
       11221.7 &                                      0 &                                      0 &                                      0
       16833.1 &                                      0 &                                      0 &                                      0
       25250.2 &                                      0 &                                      0 &                                      0
       37875.8 &                                      0 &                                      0 &                                      0
       56814.1 &                                      0 &                                      0 &                                      0
       85221.7 &                                      0 &                                      0 &                                      0
        127833 &                                      0 &                                      0 &                                      0
        191750 &                                      0 &                                      0 &                                      0
        287626 &                                      0 &                                      0 &                                      0
